Average sun spot minimum and maximum values at the solar cycles
CYCLE_NO	MIN		MAX
1  8.40  86.50
2  11.2  115.8
3  7.20  158.5
4  9.50  141.2
5  3.20  49.20
6  0.00  48.70
7  0.10  71.70
8  7.30  146.9
9 10.5  131.6
10 3.20  97.90
11 5.20  140.5
12 2.20  74.60
13 5.00  87.90
14 2.60  64.20
15 1.50  105.4
16 5.60  78.10
17 3.40  119.2
18 7.70  151.8
19 3.40  201.3
20 9.60  110.6
21 12.2  164.5
22 12.3  158.5
23 8.80  120.8
24 1.70  100.0
25 1.10  133.3
