 0.10000E+02 0.36648E-01
 0.11498E+02 0.42751E-01
 0.13219E+02 0.49866E-01
 0.15199E+02 0.58144E-01
 0.17475E+02 0.67745E-01
 0.20092E+02 0.78833E-01
 0.23101E+02 0.91561E-01
 0.26561E+02 0.10606E+00
 0.30539E+02 0.12242E+00
 0.35112E+02 0.14064E+00
 0.40370E+02 0.16067E+00
 0.46416E+02 0.18229E+00
 0.53367E+02 0.20516E+00
 0.61359E+02 0.22878E+00
 0.70548E+02 0.25251E+00
 0.81113E+02 0.27556E+00
 0.93260E+02 0.29707E+00
 0.10723E+03 0.31612E+00
 0.12328E+03 0.33183E+00
 0.14175E+03 0.34342E+00
 0.16298E+03 0.35027E+00
 0.18738E+03 0.35199E+00
 0.21544E+03 0.34843E+00
 0.24771E+03 0.33973E+00
 0.28480E+03 0.32626E+00
 0.32745E+03 0.30862E+00
 0.37649E+03 0.28757E+00
 0.43288E+03 0.26398E+00
 0.49770E+03 0.23876E+00
 0.57224E+03 0.21282E+00
 0.65793E+03 0.18698E+00
 0.75646E+03 0.16195E+00
 0.86975E+03 0.13832E+00
 0.10000E+04 0.11651E+00
 0.11498E+04 0.96826E-01
 0.13219E+04 0.79406E-01
 0.15199E+04 0.64281E-01
 0.17475E+04 0.51385E-01
 0.20092E+04 0.40575E-01
 0.23101E+04 0.31663E-01
 0.26561E+04 0.24429E-01
 0.30539E+04 0.18645E-01
 0.35112E+04 0.14083E-01
 0.40370E+04 0.10534E-01
 0.46416E+04 0.78067E-02
 0.53367E+04 0.57364E-02
 0.61359E+04 0.41812E-02
 0.70548E+04 0.30253E-02
 0.81113E+04 0.21740E-02
 0.93260E+04 0.15526E-02
 0.10723E+05 0.11025E-02
 0.12328E+05 0.77889E-03
 0.14175E+05 0.54772E-03
 0.16298E+05 0.38355E-03
 0.18738E+05 0.26761E-03
 0.21544E+05 0.18607E-03
 0.24771E+05 0.12901E-03
 0.28480E+05 0.89205E-04
 0.32745E+05 0.61540E-04
 0.37649E+05 0.42364E-04
 0.43288E+05 0.29114E-04
 0.49770E+05 0.19975E-04
 0.57224E+05 0.13686E-04
 0.65793E+05 0.93647E-05
 0.75646E+05 0.64014E-05
 0.86975E+05 0.43714E-05
 0.10000E+06 0.29829E-05
 0.11498E+06 0.20337E-05
 0.13219E+06 0.13859E-05
 0.15199E+06 0.94378E-06
 0.17475E+06 0.64246E-06
 0.20092E+06 0.43712E-06
 0.23101E+06 0.29733E-06
 0.26561E+06 0.20216E-06
 0.30539E+06 0.13742E-06
 0.35112E+06 0.93393E-07
 0.40370E+06 0.63451E-07
 0.46416E+06 0.43106E-07
 0.53367E+06 0.29277E-07
 0.61359E+06 0.19884E-07
 0.70548E+06 0.13501E-07
 0.81113E+06 0.91670E-08
 0.93260E+06 0.62233E-08
 0.10723E+07 0.42248E-08
 0.12328E+07 0.28677E-08
 0.14175E+07 0.19466E-08
 0.16298E+07 0.13211E-08
 0.18738E+07 0.89668E-09
 0.21544E+07 0.60843E-09
 0.24771E+07 0.41301E-09
 0.28480E+07 0.28017E-09
 0.32745E+07 0.19024E-09
 0.37649E+07 0.12897E-09
 0.43288E+07 0.87639E-10
 0.49770E+07 0.59346E-10
 0.57224E+07 0.40391E-10
 0.65793E+07 0.27286E-10
 0.75646E+07 0.18635E-10
 0.86975E+07 0.12523E-10
 0.10000E+08 0.86185E-11
