           1   2.774776      -1.770769        1.0295355E-03
           2   2.779642      -2.250157       5.3713091E-05
           3   3.205505     -0.6939054       6.3668558E-08            
           4   3.368330       3.078184       7.7654974E-08                  
           5   3.385599      1.853244     1.7529467E-07
           6   2.981311    -0.2386665       1.4104538E-06
           7   3.162869     0.7369495     2.5751683E-07
           8   2.917556    -0.5048721      1.5013566E-06
           9   3.259731      2.065278     1.5567499E-08
          10   2.962981     0.1020193     2.1901934E-07
          11   3.152998      1.074219     2.9699576E-08
          12   2.948759    -0.1119917     2.8983834E-07
          13   2.994864     0.5002707     4.4308159E-08
          14   2.879053    -0.1195741    2.6550569E-07
          15   3.096346      2.159097     7.0265607E-09
          16   2.933176     0.7371805     4.6928129E-08
          17   3.176697      2.664137     6.0050547E-09
          18   3.032804      1.131401     1.3141148E-08
          19   3.140759      1.496659     8.1740321E-09
          20   2.962995    -1.8125730E-02 2.7298233E-08
          21   3.094214     0.6650744     3.9951229E-09
          22   3.109239     3.4904722E-02 1.2611869E-08
          23   3.071073     0.1630669     6.6375319E-09
          24   2.995401    -0.1453178     1.6220483E-08
          25   2.915389     7.7002598E-03 1.3574155E-08
          26   2.773206    -0.5354044     2.0045466E-07
          27   2.822085     7.3928069E-03 8.0848961E-10  
          28   2.818860     0.3198831     1.0219478E-08 
          
