2002.041096
   Z       E            F
   2  7.495E+03  2.240E-07
   2  8.618E+03  1.520E-07
   2  9.908E+03  1.032E-07
   2  1.139E+04  7.002E-08
   2  1.310E+04  4.751E-08
   2  1.506E+04  3.225E-08
   2  1.732E+04  2.189E-08
   2  1.991E+04  1.484E-08
   2  2.289E+04  1.010E-08
   2  2.632E+04  6.819E-09
   2  3.026E+04  4.659E-09
   2  3.479E+04  3.129E-09
   2  4.000E+04  2.155E-09
   3  7.000E-02  2.826E-03
   3  8.048E-02  3.293E-03
   3  9.254E-02  3.839E-03
   3  1.064E-01  4.476E-03
   3  1.223E-01  5.222E-03
   3  1.406E-01  6.092E-03
   3  1.617E-01  7.109E-03
   3  1.859E-01  8.294E-03
   3  2.138E-01  9.674E-03
   3  2.458E-01  1.127E-02
   3  2.826E-01  1.312E-02
   3  3.249E-01  1.524E-02
   3  3.736E-01  1.766E-02
   3  4.295E-01  2.038E-02
   3  4.938E-01  2.342E-02
   3  5.678E-01  2.675E-02
   3  6.528E-01  3.035E-02
   3  7.506E-01  3.415E-02
   3  8.630E-01  3.807E-02
   3  9.922E-01  4.199E-02
   3  1.141E+00  4.578E-02
   3  1.312E+00  4.927E-02
   3  1.508E+00  5.229E-02
   3  1.734E+00  5.469E-02
   3  1.994E+00  5.632E-02
   3  2.292E+00  5.706E-02
   3  2.635E+00  5.683E-02
   3  3.030E+00  5.561E-02
   3  3.484E+00  5.345E-02
   3  4.006E+00  5.043E-02
   3  4.606E+00  4.670E-02
   3  5.295E+00  4.244E-02
   3  6.088E+00  3.783E-02
   3  7.000E+00  3.309E-02
   3  8.048E+00  2.839E-02
   3  9.254E+00  2.390E-02
   3  1.064E+01  1.975E-02
   3  1.223E+01  1.602E-02
   3  1.406E+01  1.277E-02
   3  1.617E+01  1.000E-02
   3  1.859E+01  7.708E-03
   3  2.138E+01  5.843E-03
   3  2.458E+01  4.362E-03
   3  2.826E+01  3.210E-03
   3  3.249E+01  2.331E-03
   3  3.736E+01  1.672E-03
   3  4.295E+01  1.185E-03
   3  4.938E+01  8.309E-04
   3  5.678E+01  5.770E-04
   3  6.528E+01  3.971E-04
   3  7.506E+01  2.710E-04
   3  8.630E+01  1.835E-04
   3  9.922E+01  1.236E-04
   3  1.141E+02  8.266E-05
   3  1.312E+02  5.497E-05
   3  1.508E+02  3.643E-05
   3  1.734E+02  2.402E-05
   3  1.994E+02  1.577E-05
   3  2.292E+02  1.033E-05
   3  2.635E+02  6.740E-06
   3  3.030E+02  4.389E-06
   3  3.484E+02  2.853E-06
   3  4.006E+02  1.849E-06
   3  4.606E+02  1.197E-06
   3  5.295E+02  7.724E-07
   3  6.088E+02  4.991E-07
   3  7.000E+02  3.215E-07
   3  8.048E+02  2.071E-07
   3  9.254E+02  1.332E-07
   3  1.064E+03  8.558E-08
   3  1.223E+03  5.496E-08
   3  1.406E+03  3.532E-08
   3  1.617E+03  2.263E-08
   3  1.859E+03  1.452E-08
   3  2.138E+03  9.309E-09
   3  2.458E+03  5.962E-09
   3  2.826E+03  3.823E-09
   3  3.249E+03  2.447E-09
   3  3.736E+03  1.567E-09
   3  4.295E+03  1.003E-09
   3  4.938E+03  6.420E-10
   3  5.678E+03  4.109E-10
   3  6.528E+03  2.629E-10
   3  7.506E+03  1.682E-10
   3  8.630E+03  1.076E-10
   3  9.922E+03  6.890E-11
   3  1.141E+04  4.403E-11
   3  1.312E+04  2.816E-11
   3  1.508E+04  1.802E-11
   3  1.734E+04  1.152E-11
   3  1.994E+04  7.363E-12
   3  2.292E+04  4.715E-12
   3  2.635E+04  3.010E-12
   3  3.030E+04  1.929E-12
   3  3.484E+04  1.231E-12
   3  4.006E+04  7.888E-13
