2008.120219
   Z       E            F
   2  7.495E+03  2.243E-07
   2  8.618E+03  1.521E-07
   2  9.908E+03  1.034E-07
   2  1.139E+04  6.998E-08
   2  1.310E+04  4.763E-08
   2  1.506E+04  3.223E-08
   2  1.732E+04  2.193E-08
   2  1.991E+04  1.483E-08
   2  2.289E+04  1.010E-08
   2  2.632E+04  6.823E-09
   2  3.026E+04  4.658E-09
   2  3.479E+04  3.131E-09
   2  4.000E+04  2.155E-09
   3  7.000E-02  1.647E-02
   3  8.048E-02  1.916E-02
   3  9.254E-02  2.229E-02
   3  1.064E-01  2.591E-02
   3  1.223E-01  3.010E-02
   3  1.406E-01  3.492E-02
   3  1.617E-01  4.044E-02
   3  1.859E-01  4.673E-02
   3  2.138E-01  5.382E-02
   3  2.458E-01  6.174E-02
   3  2.826E-01  7.047E-02
   3  3.249E-01  7.998E-02
   3  3.736E-01  9.015E-02
   3  4.295E-01  1.008E-01
   3  4.938E-01  1.118E-01
   3  5.678E-01  1.227E-01
   3  6.528E-01  1.333E-01
   3  7.506E-01  1.431E-01
   3  8.630E-01  1.518E-01
   3  9.922E-01  1.590E-01
   3  1.141E+00  1.642E-01
   3  1.312E+00  1.673E-01
   3  1.508E+00  1.679E-01
   3  1.734E+00  1.660E-01
   3  1.994E+00  1.616E-01
   3  2.292E+00  1.548E-01
   3  2.635E+00  1.459E-01
   3  3.030E+00  1.353E-01
   3  3.484E+00  1.233E-01
   3  4.006E+00  1.105E-01
   3  4.606E+00  9.728E-02
   3  5.295E+00  8.418E-02
   3  6.088E+00  7.157E-02
   3  7.000E+00  5.980E-02
   3  8.048E+00  4.910E-02
   3  9.254E+00  3.963E-02
   3  1.064E+01  3.145E-02
   3  1.223E+01  2.456E-02
   3  1.406E+01  1.887E-02
   3  1.617E+01  1.428E-02
   3  1.859E+01  1.065E-02
   3  2.138E+01  7.830E-03
   3  2.458E+01  5.684E-03
   3  2.826E+01  4.075E-03
   3  3.249E+01  2.888E-03
   3  3.736E+01  2.025E-03
   3  4.295E+01  1.406E-03
   3  4.938E+01  9.672E-04
   3  5.678E+01  6.606E-04
   3  6.528E+01  4.476E-04
   3  7.506E+01  3.013E-04
   3  8.630E+01  2.016E-04
   3  9.922E+01  1.342E-04
   3  1.141E+02  8.891E-05
   3  1.312E+02  5.861E-05
   3  1.508E+02  3.852E-05
   3  1.734E+02  2.523E-05
   3  1.994E+02  1.647E-05
   3  2.292E+02  1.073E-05
   3  2.635E+02  6.966E-06
   3  3.030E+02  4.519E-06
   3  3.484E+02  2.925E-06
   3  4.006E+02  1.889E-06
   3  4.606E+02  1.220E-06
   3  5.295E+02  7.854E-07
   3  6.088E+02  5.062E-07
   3  7.000E+02  3.255E-07
   3  8.048E+02  2.093E-07
   3  9.254E+02  1.345E-07
   3  1.064E+03  8.625E-08
   3  1.223E+03  5.539E-08
   3  1.406E+03  3.550E-08
   3  1.617E+03  2.277E-08
   3  1.859E+03  1.459E-08
   3  2.138E+03  9.342E-09
   3  2.458E+03  5.988E-09
   3  2.826E+03  3.832E-09
   3  3.249E+03  2.454E-09
   3  3.736E+03  1.571E-09
   3  4.295E+03  1.005E-09
   3  4.938E+03  6.431E-10
   3  5.678E+03  4.117E-10
   3  6.528E+03  2.632E-10
   3  7.506E+03  1.685E-10
   3  8.630E+03  1.077E-10
   3  9.922E+03  6.893E-11
   3  1.141E+04  4.408E-11
   3  1.312E+04  2.818E-11
   3  1.508E+04  1.804E-11
   3  1.734E+04  1.152E-11
   3  1.994E+04  7.377E-12
   3  2.292E+04  4.714E-12
   3  2.635E+04  3.014E-12
