2023.873973
    Z       E            F 
   2  7.496E+03  1.759E-07
   2  8.616E+03  1.192E-07
   2  9.908E+03  8.059E-08
   2  1.139E+04  5.453E-08
   2  1.310E+04  3.688E-08
   2  1.506E+04  2.496E-08
   2  1.732E+04  1.689E-08
   2  1.991E+04  1.143E-08
   2  2.289E+04  7.712E-09
   2  2.632E+04  5.235E-09
   2  3.026E+04  3.540E-09
   2  3.479E+04  2.396E-09
   2  4.000E+04  1.620E-09
   3  7.000E-02  3.998E+00
   3  8.050E-02  3.793E+00
   3  9.254E-02  3.596E+00
   3  1.064E-01  3.407E+00
   3  1.224E-01  3.225E+00
   3  1.406E-01  3.051E+00
   3  1.617E-01  2.882E+00
   3  1.859E-01  2.719E+00
   3  2.138E-01  2.562E+00
   3  2.458E-01  2.411E+00
   3  2.826E-01  2.264E+00
   3  3.249E-01  2.121E+00
   3  3.736E-01  1.983E+00
   3  4.295E-01  1.849E+00
   3  4.939E-01  1.719E+00
   3  5.678E-01  1.592E+00
   3  6.528E-01  1.469E+00
   3  7.504E-01  1.350E+00
   3  8.631E-01  1.234E+00
   3  9.919E-01  1.123E+00
   3  1.141E+00  1.015E+00
   3  1.312E+00  9.112E-01
   3  1.508E+00  8.125E-01
   3  1.734E+00  7.183E-01
   3  1.994E+00  6.296E-01
   3  2.292E+00  5.465E-01
   3  2.636E+00  4.697E-01
   3  3.030E+00  3.993E-01
   3  3.484E+00  3.355E-01
   3  4.005E+00  2.785E-01
   3  4.605E+00  2.283E-01
   3  5.296E+00  1.846E-01
   3  6.088E+00  1.474E-01
   3  7.000E+00  1.160E-01
   3  8.050E+00  9.003E-02
   3  9.254E+00  6.898E-02
   3  1.064E+01  5.212E-02
   3  1.224E+01  3.885E-02
   3  1.406E+01  2.863E-02
   3  1.617E+01  2.082E-02
   3  1.859E+01  1.496E-02
   3  2.138E+01  1.064E-02
   3  2.458E+01  7.484E-03
   3  2.826E+01  5.214E-03
   3  3.249E+01  3.600E-03
   3  3.736E+01  2.466E-03
   3  4.295E+01  1.676E-03
   3  4.938E+01  1.132E-03
   3  5.678E+01  7.595E-04
   3  6.528E+01  5.067E-04
   3  7.504E+01  3.367E-04
   3  8.631E+01  2.223E-04
   3  9.919E+01  1.465E-04
   3  1.141E+02  9.598E-05
   3  1.312E+02  6.278E-05
   3  1.508E+02  4.097E-05
   3  1.734E+02  2.664E-05
   3  1.994E+02  1.729E-05
   3  2.292E+02  1.120E-05
   3  2.636E+02  7.245E-06
   3  3.030E+02  4.678E-06
   3  3.484E+02  3.018E-06
   3  4.005E+02  1.945E-06
   3  4.605E+02  1.252E-06
   3  5.296E+02  8.047E-07
   3  6.088E+02  5.173E-07
   3  7.000E+02  3.321E-07
   3  8.050E+02  2.130E-07
   3  9.254E+02  1.367E-07
   3  1.064E+03  8.767E-08
   3  1.224E+03  5.615E-08
   3  1.406E+03  3.603E-08
   3  1.617E+03  2.307E-08
   3  1.859E+03  1.478E-08
   3  2.138E+03  9.458E-09
   3  2.458E+03  6.056E-09
   3  2.826E+03  3.876E-09
   3  3.249E+03  2.480E-09
   3  3.736E+03  1.587E-09
   3  4.295E+03  1.015E-09
   3  4.938E+03  6.495E-10
   3  5.678E+03  4.156E-10
   3  6.528E+03  2.658E-10
   3  7.504E+03  1.701E-10
   3  8.631E+03  1.087E-10
   3  9.919E+03  6.961E-11
   3  1.141E+04  4.445E-11
   3  1.312E+04  2.843E-11
   3  1.508E+04  1.820E-11
   3  1.734E+04  1.163E-11
   3  1.994E+04  7.435E-12
   3  2.292E+04  4.752E-12
   3  2.636E+04  3.040E-12
   3  3.030E+04  1.943E-12
   3  3.484E+04  1.243E-12
   3  4.005E+04  7.951E-13
   3  4.605E+04  5.084E-13
   3  5.296E+04  3.249E-13
   3  6.088E+04  2.078E-13
   3  7.000E+04  1.328E-13
   4  9.000E-02  3.050E-02
   4  1.035E-01  3.366E-02
   4  1.190E-01  3.710E-02
   4  1.368E-01  4.084E-02
   4  1.573E-01  4.492E-02
   4  1.808E-01  4.932E-02
   4  2.079E-01  5.407E-02
   4  2.390E-01  5.917E-02
   4  2.749E-01  6.462E-02
   4  3.160E-01  7.039E-02
   4  3.633E-01  7.647E-02
   4  4.178E-01  8.283E-02
   4  4.803E-01  8.939E-02
   4  5.522E-01  9.608E-02
   4  6.350E-01  1.028E-01
   4  7.300E-01  1.095E-01
   4  8.393E-01  1.159E-01
   4  9.648E-01  1.218E-01
   4  1.110E+00  1.272E-01
   4  1.275E+00  1.318E-01
   4  1.467E+00  1.353E-01
   4  1.687E+00  1.376E-01
   4  1.939E+00  1.384E-01
   4  2.229E+00  1.376E-01
   4  2.563E+00  1.350E-01
   4  2.947E+00  1.307E-01
   4  3.389E+00  1.247E-01
   4  3.896E+00  1.171E-01
   4  4.479E+00  1.082E-01
   4  5.150E+00  9.832E-02
   4  5.921E+00  8.775E-02
   4  6.809E+00  7.691E-02
   4  7.827E+00  6.619E-02
   4  9.000E+00  5.593E-02
   4  1.035E+01  4.639E-02
   4  1.190E+01  3.782E-02
   4  1.368E+01  3.029E-02
   4  1.573E+01  2.386E-02
   4  1.808E+01  1.851E-02
   4  2.079E+01  1.413E-02
   4  2.390E+01  1.064E-02
   4  2.749E+01  7.909E-03
   4  3.160E+01  5.809E-03
   4  3.633E+01  4.219E-03
   4  4.178E+01  3.033E-03
   4  4.803E+01  2.161E-03
   4  5.522E+01  1.528E-03
   4  6.349E+01  1.072E-03
