2024.125683
   Z       E         F
   2  7.496E+03  2.321E-07
   2  8.616E+03  1.579E-07
   2  9.908E+03  1.072E-07
   2  1.139E+04  7.286E-08
   2  1.310E+04  4.949E-08
   2  1.506E+04  3.364E-08
   2  1.732E+04  2.285E-08
   2  1.991E+04  1.553E-08
   2  2.289E+04  1.055E-08
   2  2.632E+04  7.171E-09
   2  3.026E+04  4.871E-09
   2  3.479E+04  3.311E-09
   2  4.000E+04  2.249E-09
   3  7.000E-02  1.782E-02
   3  8.050E-02  2.028E-02
   3  9.254E-02  2.303E-02
   3  1.064E-01  2.611E-02
   3  1.224E-01  2.955E-02
   3  1.406E-01  3.335E-02
   3  1.617E-01  3.756E-02
   3  1.859E-01  4.218E-02
   3  2.138E-01  4.722E-02
   3  2.458E-01  5.265E-02
   3  2.826E-01  5.848E-02
   3  3.249E-01  6.466E-02
   3  3.736E-01  7.113E-02
   3  4.295E-01  7.781E-02
   3  4.939E-01  8.459E-02
   3  5.678E-01  9.133E-02
   3  6.528E-01  9.789E-02
   3  7.504E-01  1.040E-01
   3  8.631E-01  1.097E-01
   3  9.919E-01  1.144E-01
   3  1.141E+00  1.182E-01
   3  1.312E+00  1.208E-01
   3  1.508E+00  1.221E-01
   3  1.734E+00  1.218E-01
   3  1.994E+00  1.200E-01
   3  2.292E+00  1.167E-01
   3  2.635E+00  1.119E-01
   3  3.030E+00  1.057E-01
   3  3.484E+00  9.839E-02
   3  4.005E+00  9.020E-02
   3  4.605E+00  8.141E-02
   3  5.295E+00  7.232E-02
   3  6.088E+00  6.324E-02
   3  7.000E+00  5.441E-02
   3  8.050E+00  4.607E-02
   3  9.254E+00  3.841E-02
   3  1.064E+01  3.153E-02
   3  1.224E+01  2.549E-02
   3  1.406E+01  2.032E-02
   3  1.617E+01  1.597E-02
   3  1.859E+01  1.238E-02
   3  2.138E+01  9.474E-03
   3  2.458E+01  7.167E-03
   3  2.826E+01  5.360E-03
   3  3.249E+01  3.967E-03
   3  3.736E+01  2.908E-03
   3  4.295E+01  2.113E-03
   3  4.938E+01  1.523E-03
   3  5.678E+01  1.090E-03
   3  6.528E+01  7.747E-04
   3  7.504E+01  5.477E-04
   3  8.631E+01  3.845E-04
   3  9.919E+01  2.692E-04
   3  1.141E+02  1.872E-04
   3  1.312E+02  1.299E-04
   3  1.508E+02  8.987E-05
   3  1.734E+02  6.191E-05
   3  1.994E+02  4.256E-05
   3  2.292E+02  2.918E-05
   3  2.636E+02  1.997E-05
   3  3.030E+02  1.364E-05
   3  3.484E+02  9.309E-06
   3  4.005E+02  6.342E-06
   3  4.605E+02  4.314E-06
   3  5.296E+02  2.931E-06
   3  6.088E+02  1.991E-06
   3  7.000E+02  1.350E-06
   3  8.050E+02  9.149E-07
   3  9.254E+02  6.201E-07
   3  1.064E+03  4.199E-07
   3  1.224E+03  2.840E-07
   3  1.406E+03  1.924E-07
   3  1.617E+03  1.301E-07
   3  1.859E+03  8.793E-08
   3  2.138E+03  5.942E-08
   3  2.458E+03  4.017E-08
   3  2.826E+03  2.713E-08
   3  3.249E+03  1.832E-08
   3  3.736E+03  1.238E-08
   3  4.295E+03  8.358E-09
   3  4.938E+03  5.643E-09
   3  5.678E+03  3.811E-09
   3  6.528E+03  2.572E-09
   3  7.504E+03  1.738E-09
   3  8.631E+03  1.172E-09
   3  9.919E+03  7.917E-10
   3  1.141E+04  5.336E-10
   3  1.312E+04  3.602E-10
   3  1.508E+04  2.433E-10
   3  1.734E+04  1.641E-10
   3  1.994E+04  1.107E-10
   3  2.292E+04  7.468E-11
   3  2.636E+04  5.041E-11
   3  3.030E+04  3.401E-11
   3  3.484E+04  2.295E-11
   3  4.005E+04  1.549E-11
   3  4.605E+04  1.045E-11
   3  5.296E+04  7.049E-12
   3  6.088E+04  4.758E-12
   3  7.000E+04  3.209E-12
   4  9.000E-02  7.077E-03
   4  1.035E-01  8.063E-03
   4  1.190E-01  9.171E-03
   4  1.368E-01  1.042E-02
   4  1.573E-01  1.181E-02
   4  1.808E-01  1.336E-02
   4  2.079E-01  1.509E-02
   4  2.390E-01  1.700E-02
   4  2.749E-01  1.909E-02
   4  3.160E-01  2.136E-02
   4  3.633E-01  2.383E-02
   4  4.178E-01  2.646E-02
   4  4.803E-01  2.926E-02
   4  5.522E-01  3.218E-02
   4  6.350E-01  3.520E-02
   4  7.300E-01  3.825E-02
   4  8.393E-01  4.129E-02
   4  9.648E-01  4.421E-02
   4  1.110E+00  4.697E-02
   4  1.275E+00  4.943E-02
   4  1.467E+00  5.152E-02
   4  1.687E+00  5.312E-02
   4  1.939E+00  5.414E-02
   4  2.229E+00  5.451E-02
   4  2.563E+00  5.417E-02
   4  2.948E+00  5.308E-02
   4  3.389E+00  5.127E-02
   4  3.896E+00  4.876E-02
   4  4.479E+00  4.565E-02
   4  5.150E+00  4.203E-02
   4  5.921E+00  3.804E-02
   4  6.808E+00  3.384E-02
   4  7.827E+00  2.957E-02
   4  9.000E+00  2.539E-02
   4  1.035E+01  2.140E-02
   4  1.190E+01  1.773E-02
   4  1.368E+01  1.443E-02
   4  1.573E+01  1.154E-02
   4  1.808E+01  9.091E-03
   4  2.079E+01  7.041E-03
   4  2.390E+01  5.371E-03
   4  2.749E+01  4.038E-03
   4  3.160E+01  2.996E-03
   4  3.633E+01  2.194E-03
   4  4.178E+01  1.588E-03
   4  4.803E+01  1.137E-03
   4  5.522E+01  8.065E-04
   4  6.349E+01  5.667E-04
   4  7.300E+01  3.950E-04
   4  8.393E+01  2.733E-04
   4  9.648E+01  1.879E-04
   4  1.110E+02  1.282E-04
   4  1.275E+02  8.725E-05
   4  1.467E+02  5.893E-05
   4  1.687E+02  3.969E-05
   4  1.939E+02  2.666E-05
   4  2.229E+02  1.782E-05
   4  2.563E+02  1.188E-05
   4  2.948E+02  7.898E-06
   4  3.388E+02  5.243E-06
   4  3.896E+02  3.472E-06
   4  4.479E+02  2.296E-06
   4  5.150E+02  1.516E-06
   4  5.921E+02  9.996E-07
   4  6.809E+02  6.581E-07
   4  7.827E+02  4.331E-07
   4  9.000E+02  2.846E-07
   4  1.035E+03  1.868E-07
   4  1.190E+03  1.227E-07
   4  1.368E+03  8.046E-08
   4  1.573E+03  5.272E-08
   4  1.808E+03  3.459E-08
   4  2.079E+03  2.265E-08
   4  2.390E+03  1.483E-08
   4  2.749E+03  9.708E-09
   4  3.160E+03  6.356E-09
   4  3.633E+03  4.158E-09
   4  4.178E+03  2.720E-09
   4  4.803E+03  1.779E-09
   4  5.522E+03  1.164E-09
   4  6.350E+03  7.609E-10
   4  7.300E+03  4.976E-10
   4  8.393E+03  3.253E-10
   4  9.648E+03  2.128E-10
   4  1.110E+04  1.390E-10
   4  1.275E+04  9.096E-11
   4  1.467E+04  5.936E-11
   4  1.687E+04  3.880E-11
   4  1.939E+04  2.538E-11
   4  2.229E+04  1.658E-11
   4  2.563E+04  1.083E-11
   4  2.948E+04  7.077E-12
   4  3.388E+04  4.626E-12
   4  3.896E+04  3.023E-12
   4  4.479E+04  1.975E-12
   4  5.150E+04  1.291E-12
   4  5.921E+04  8.435E-13
   4  6.808E+04  5.510E-13
   4  7.827E+04  3.601E-13
   4  9.000E+04  2.353E-13
   5  1.100E-01  2.106E-02
   5  1.265E-01  2.399E-02
   5  1.454E-01  2.727E-02
   5  1.672E-01  3.096E-02
   5  1.923E-01  3.510E-02
   5  2.210E-01  3.968E-02
   5  2.541E-01  4.478E-02
   5  2.922E-01  5.040E-02
   5  3.359E-01  5.655E-02
   5  3.862E-01  6.324E-02
   5  4.441E-01  7.046E-02
   5  5.106E-01  7.818E-02
   5  5.871E-01  8.633E-02
   5  6.750E-01  9.483E-02
   5  7.761E-01  1.036E-01
   5  8.922E-01  1.124E-01
   5  1.026E+00  1.211E-01
   5  1.179E+00  1.294E-01
   5  1.356E+00  1.372E-01
   5  1.559E+00  1.441E-01
   5  1.793E+00  1.499E-01
   5  2.061E+00  1.542E-01
   5  2.369E+00  1.569E-01
   5  2.725E+00  1.576E-01
   5  3.133E+00  1.563E-01
   5  3.603E+00  1.530E-01
   5  4.141E+00  1.475E-01
   5  4.762E+00  1.402E-01
   5  5.475E+00  1.311E-01
   5  6.294E+00  1.207E-01
   5  7.237E+00  1.093E-01
   5  8.322E+00  9.729E-02
   5  9.567E+00  8.517E-02
   5  1.100E+01  7.328E-02
   5  1.265E+01  6.196E-02
   5  1.454E+01  5.153E-02
   5  1.672E+01  4.214E-02
   5  1.923E+01  3.389E-02
   5  2.210E+01  2.685E-02
   5  2.541E+01  2.093E-02
   5  2.922E+01  1.609E-02
   5  3.359E+01  1.219E-02
   5  3.862E+01  9.123E-03
   5  4.441E+01  6.743E-03
   5  5.106E+01  4.927E-03
   5  5.871E+01  3.563E-03
   5  6.750E+01  2.553E-03
