1997.041096
  Heliocentric potential for LUIN spectrum =   379.000000000000       MV
   Z       E         F
   2  5.670E+03  1.935E-06
   2  6.519E+03  1.361E-06
   2  7.495E+03  9.562E-07
   2  8.618E+03  6.711E-07
   2  9.908E+03  4.707E-07
   2  1.139E+04  3.300E-07
   2  1.310E+04  2.308E-07
   2  1.506E+04  1.615E-07
   2  1.732E+04  1.128E-07
   2  1.991E+04  7.880E-08
   2  2.289E+04  5.499E-08
   2  2.632E+04  3.832E-08
   2  3.026E+04  2.670E-08
   2  3.479E+04  1.858E-08
   2  4.000E+04  1.292E-08
   3  7.000E-02  4.949E-02
   3  8.048E-02  5.598E-02
   3  9.254E-02  6.316E-02
   3  1.064E-01  7.108E-02
   3  1.223E-01  7.973E-02
   3  1.406E-01  8.915E-02
   3  1.617E-01  9.933E-02
   3  1.859E-01  1.102E-01
   3  2.138E-01  1.216E-01
   3  2.458E-01  1.335E-01
   3  2.826E-01  1.457E-01
   3  3.249E-01  1.580E-01
   3  3.736E-01  1.701E-01
   3  4.295E-01  1.816E-01
   3  4.938E-01  1.922E-01
   3  5.678E-01  2.016E-01
   3  6.528E-01  2.092E-01
   3  7.506E-01  2.148E-01
   3  8.630E-01  2.179E-01
   3  9.922E-01  2.183E-01
   3  1.141E+00  2.160E-01
   3  1.312E+00  2.107E-01
   3  1.508E+00  2.027E-01
   3  1.734E+00  1.922E-01
   3  1.994E+00  1.796E-01
   3  2.292E+00  1.653E-01
   3  2.635E+00  1.499E-01
   3  3.030E+00  1.339E-01
   3  3.484E+00  1.179E-01
   3  4.006E+00  1.023E-01
   3  4.606E+00  8.751E-02
   3  5.295E+00  7.388E-02
   3  6.088E+00  6.156E-02
   3  7.000E+00  5.067E-02
   3  8.048E+00  4.122E-02
   3  9.254E+00  3.317E-02
   3  1.064E+01  2.642E-02
   3  1.223E+01  2.086E-02
   3  1.406E+01  1.632E-02
   3  1.617E+01  1.265E-02
   3  1.859E+01  9.746E-03
   3  2.138E+01  7.450E-03
   3  2.458E+01  5.662E-03
   3  2.826E+01  4.279E-03
   3  3.249E+01  3.217E-03
   3  3.736E+01  2.406E-03
   3  4.295E+01  1.792E-03
   3  4.938E+01  1.330E-03
   3  5.678E+01  9.825E-04
   3  6.528E+01  7.238E-04
   3  7.506E+01  5.314E-04
   3  8.630E+01  3.892E-04
   3  9.922E+01  2.843E-04
   3  1.141E+02  2.070E-04
   3  1.312E+02  1.505E-04
   3  1.508E+02  1.093E-04
   3  1.734E+02  7.910E-05
   3  1.994E+02  5.715E-05
   3  2.292E+02  4.127E-05
   3  2.635E+02  2.974E-05
   3  3.030E+02  2.139E-05
   3  3.484E+02  1.537E-05
   3  4.006E+02  1.102E-05
   3  4.606E+02  7.899E-06
   3  5.295E+02  5.655E-06
   3  6.088E+02  4.043E-06
   3  7.000E+02  2.886E-06
   3  8.048E+02  2.059E-06
   3  9.254E+02  1.467E-06
   3  1.064E+03  1.044E-06
   3  1.223E+03  7.428E-07
   3  1.406E+03  5.277E-07
   3  1.617E+03  3.743E-07
   3  1.859E+03  2.654E-07
   3  2.138E+03  1.878E-07
   3  2.458E+03  1.329E-07
   3  2.826E+03  9.399E-08
   3  3.249E+03  6.640E-08
   3  3.736E+03  4.684E-08
   3  4.295E+03  3.304E-08
   3  4.938E+03  2.327E-08
   3  5.678E+03  1.638E-08
   3  6.528E+03  1.152E-08
   3  7.506E+03  8.090E-09
   3  8.630E+03  5.679E-09
   3  9.922E+03  3.983E-09
   3  1.141E+04  2.790E-09
   3  1.312E+04  1.952E-09
   3  1.508E+04  1.367E-09
   3  1.734E+04  9.551E-10
   3  1.994E+04  6.666E-10
   3  2.292E+04  4.654E-10
   3  2.635E+04  3.245E-10
   3  3.030E+04  2.260E-10
   3  3.484E+04  1.572E-10
   3  4.006E+04  1.093E-10
   3  4.606E+04  7.592E-11
   3  5.295E+04  5.272E-11
   3  6.088E+04  3.656E-11
   3  7.000E+04  2.533E-11
   4  9.000E-02  2.394E-02
   4  1.035E-01  2.706E-02
   4  1.190E-01  3.051E-02
   4  1.368E-01  3.429E-02
   4  1.573E-01  3.843E-02
   4  1.808E-01  4.291E-02
   4  2.079E-01  4.773E-02
   4  2.390E-01  5.285E-02
   4  2.748E-01  5.823E-02
   4  3.160E-01  6.380E-02
   4  3.633E-01  6.946E-02
   4  4.177E-01  7.510E-02
   4  4.803E-01  8.058E-02
   4  5.522E-01  8.574E-02
   4  6.349E-01  9.041E-02
   4  7.300E-01  9.438E-02
   4  8.393E-01  9.748E-02
   4  9.650E-01  9.953E-02
   4  1.110E+00  1.004E-01
   4  1.276E+00  9.996E-02
   4  1.467E+00  9.819E-02
   4  1.686E+00  9.511E-02
   4  1.939E+00  9.078E-02
   4  2.229E+00  8.538E-02
   4  2.563E+00  7.909E-02
   4  2.947E+00  7.215E-02
   4  3.388E+00  6.483E-02
   4  3.896E+00  5.738E-02
   4  4.479E+00  5.004E-02
   4  5.150E+00  4.302E-02
   4  5.921E+00  3.648E-02
   4  6.808E+00  3.052E-02
   4  7.828E+00  2.521E-02
   4  9.000E+00  2.058E-02
   4  1.035E+01  1.660E-02
   4  1.190E+01  1.326E-02
   4  1.368E+01  1.049E-02
   4  1.573E+01  8.221E-03
   4  1.808E+01  6.393E-03
   4  2.079E+01  4.930E-03
   4  2.390E+01  3.777E-03
   4  2.748E+01  2.874E-03
   4  3.160E+01  2.173E-03
   4  3.633E+01  1.635E-03
   4  4.177E+01  1.224E-03
   4  4.803E+01  9.119E-04
   4  5.522E+01  6.768E-04
   4  6.349E+01  5.004E-04
   4  7.300E+01  3.687E-04
   4  8.393E+01  2.708E-04
   4  9.650E+01  1.983E-04
   4  1.110E+02  1.447E-04
   4  1.276E+02  1.054E-04
   4  1.467E+02  7.666E-05
   4  1.686E+02  5.566E-05
   4  1.939E+02  4.027E-05
   4  2.229E+02  2.911E-05
   4  2.563E+02  2.100E-05
   4  2.947E+02  1.512E-05
   4  3.388E+02  1.088E-05
   4  3.896E+02  7.807E-06
   4  4.479E+02  5.600E-06
   4  5.150E+02  4.010E-06
   4  5.921E+02  2.869E-06
   4  6.808E+02  2.049E-06
   4  7.828E+02  1.462E-06
   4  9.000E+02  1.043E-06
   4  1.035E+03  7.420E-07
   4  1.190E+03  5.278E-07
   4  1.368E+03  3.752E-07
   4  1.573E+03  2.663E-07
   4  1.808E+03  1.890E-07
   4  2.079E+03  1.339E-07
   4  2.390E+03  9.478E-08
   4  2.748E+03  6.702E-08
   4  3.160E+03  4.733E-08
   4  3.633E+03  3.342E-08
   4  4.177E+03  2.357E-08
   4  4.803E+03  1.660E-08
   4  5.522E+03  1.169E-08
   4  6.349E+03  8.220E-09
   4  7.300E+03  5.776E-09
   4  8.393E+03  4.055E-09
   4  9.650E+03  2.844E-09
   4  1.110E+04  1.991E-09
   4  1.276E+04  1.395E-09
   4  1.467E+04  9.762E-10
   4  1.686E+04  6.831E-10
   4  1.939E+04  4.768E-10
   4  2.229E+04  3.328E-10
   4  2.563E+04  2.320E-10
   4  2.947E+04  1.616E-10
   4  3.388E+04  1.125E-10
   4  3.896E+04  7.821E-11
   4  4.479E+04  5.436E-11
   4  5.150E+04  3.773E-11
   4  5.921E+04  2.617E-11
   4  6.808E+04  1.814E-11
   4  7.828E+04  1.256E-11
   4  9.000E+04  8.689E-12
   5  1.100E-01  3.882E-02
   5  1.265E-01  4.386E-02
   5  1.454E-01  4.939E-02
   5  1.672E-01  5.549E-02
   5  1.922E-01  6.211E-02
   5  2.210E-01  6.929E-02
   5  2.541E-01  7.698E-02
   5  2.922E-01  8.512E-02
   5  3.359E-01  9.362E-02
   5  3.862E-01  1.024E-01
   5  4.441E-01  1.112E-01
   5  5.106E-01  1.200E-01
   5  5.870E-01  1.284E-01
   5  6.749E-01  1.363E-01
   5  7.760E-01  1.432E-01
   5  8.922E-01  1.490E-01
   5  1.026E+00  1.533E-01
   5  1.179E+00  1.558E-01
   5  1.356E+00  1.565E-01
   5  1.559E+00  1.550E-01
   5  1.793E+00  1.514E-01
   5  2.061E+00  1.459E-01
   5  2.370E+00  1.384E-01
   5  2.725E+00  1.293E-01
   5  3.133E+00  1.190E-01
   5  3.602E+00  1.079E-01
   5  4.141E+00  9.631E-02
   5  4.762E+00  8.466E-02
   5  5.475E+00  7.334E-02
   5  6.295E+00  6.263E-02
   5  7.237E+00  5.276E-02
   5  8.321E+00  4.386E-02
   5  9.567E+00  3.602E-02
   5  1.100E+01  2.923E-02
   5  1.265E+01  2.345E-02
   5  1.454E+01  1.864E-02
   5  1.672E+01  1.467E-02
   5  1.922E+01  1.145E-02
   5  2.210E+01  8.857E-03
   5  2.541E+01  6.803E-03
   5  2.922E+01  5.189E-03
   5  3.359E+01  3.935E-03
   5  3.862E+01  2.967E-03
   5  4.441E+01  2.224E-03
   5  5.106E+01  1.660E-03
   5  5.870E+01  1.234E-03
   5  6.749E+01  9.138E-04
   5  7.760E+01  6.739E-04
   5  8.922E+01  4.954E-04
   5  1.026E+02  3.629E-04
   5  1.179E+02  2.656E-04
   5  1.356E+02  1.935E-04
   5  1.559E+02  1.407E-04
   5  1.793E+02  1.020E-04
   5  2.061E+02  7.392E-05
   5  2.370E+02  5.341E-05
   5  2.725E+02  3.853E-05
   5  3.133E+02  2.775E-05
   5  3.602E+02  1.996E-05
   5  4.141E+02  1.434E-05
   5  4.762E+02  1.028E-05
   5  5.475E+02  7.359E-06
   5  6.295E+02  5.263E-06
   5  7.237E+02  3.761E-06
   5  8.321E+02  2.683E-06
   5  9.567E+02  1.912E-06
   5  1.100E+03  1.361E-06
   5  1.265E+03  9.676E-07
   5  1.454E+03  6.879E-07
   5  1.672E+03  4.880E-07
   5  1.922E+03  3.461E-07
   5  2.210E+03  2.451E-07
   5  2.541E+03  1.734E-07
   5  2.922E+03  1.226E-07
   5  3.359E+03  8.660E-08
   5  3.862E+03  6.111E-08
   5  4.441E+03  4.306E-08
   5  5.106E+03  3.033E-08
   5  5.870E+03  2.135E-08
   5  6.749E+03  1.501E-08
   5  7.760E+03  1.054E-08
   5  8.922E+03  7.400E-09
   5  1.026E+04  5.187E-09
   5  1.179E+04  3.639E-09
   5  1.356E+04  2.545E-09
   5  1.559E+04  1.780E-09
   5  1.793E+04  1.243E-09
   5  2.061E+04  8.684E-10
   5  2.370E+04  6.055E-10
   5  2.725E+04  4.220E-10
   5  3.133E+04  2.939E-10
   5  3.602E+04  2.045E-10
   5  4.141E+04  1.422E-10
   5  4.762E+04  9.872E-11
   5  5.475E+04  6.851E-11
   5  6.295E+04  4.751E-11
   5  7.237E+04  3.292E-11
   5  8.321E+04  2.279E-11
   5  9.567E+04  1.576E-11
   5  1.100E+05  1.089E-11
   6  1.200E-01  2.849E-01
   6  1.380E-01  3.221E-01
   6  1.586E-01  3.631E-01
   6  1.824E-01  4.083E-01
   6  2.097E-01  4.577E-01
   6  2.411E-01  5.112E-01
   6  2.772E-01  5.687E-01
   6  3.187E-01  6.299E-01
   6  3.665E-01  6.942E-01
   6  4.213E-01  7.606E-01
   6  4.844E-01  8.282E-01
   6  5.570E-01  8.957E-01
   6  6.404E-01  9.611E-01
   6  7.363E-01  1.023E+00
   6  8.466E-01  1.078E+00
   6  9.734E-01  1.125E+00
   6  1.119E+00  1.162E+00
   6  1.287E+00  1.186E+00
   6  1.479E+00  1.195E+00
   6  1.701E+00  1.189E+00
   6  1.956E+00  1.166E+00
   6  2.249E+00  1.128E+00
   6  2.585E+00  1.075E+00
   6  2.972E+00  1.008E+00
   6  3.418E+00  9.318E-01
   6  3.929E+00  8.480E-01
   6  4.518E+00  7.597E-01
   6  5.195E+00  6.703E-01
   6  5.972E+00  5.828E-01
   6  6.867E+00  4.994E-01
   6  7.895E+00  4.220E-01
   6  9.078E+00  3.518E-01
   6  1.044E+01  2.895E-01
   6  1.200E+01  2.356E-01
   6  1.380E+01  1.895E-01
   6  1.586E+01  1.510E-01
   6  1.824E+01  1.190E-01
   6  2.097E+01  9.297E-02
   6  2.411E+01  7.205E-02
   6  2.772E+01  5.542E-02
   6  3.187E+01  4.233E-02
   6  3.665E+01  3.211E-02
   6  4.213E+01  2.424E-02
   6  4.844E+01  1.819E-02
   6  5.570E+01  1.358E-02
   6  6.404E+01  1.010E-02
   6  7.363E+01  7.478E-03
   6  8.466E+01  5.517E-03
   6  9.734E+01  4.056E-03
   6  1.119E+02  2.974E-03
   6  1.287E+02  2.172E-03
   6  1.479E+02  1.585E-03
   6  1.701E+02  1.152E-03
   6  1.956E+02  8.352E-04
   6  2.249E+02  6.046E-04
   6  2.585E+02  4.372E-04
   6  2.972E+02  3.154E-04
   6  3.418E+02  2.269E-04
   6  3.929E+02  1.632E-04
   6  4.518E+02  1.171E-04
   6  5.195E+02  8.395E-05
   6  5.972E+02  6.012E-05
   6  6.867E+02  4.297E-05
   6  7.895E+02  3.068E-05
   6  9.078E+02  2.188E-05
   6  1.044E+03  1.558E-05
   6  1.200E+03  1.109E-05
   6  1.380E+03  7.880E-06
   6  1.586E+03  5.601E-06
   6  1.824E+03  3.970E-06
   6  2.097E+03  2.814E-06
   6  2.411E+03  1.992E-06
   6  2.772E+03  1.409E-06
   6  3.187E+03  9.957E-07
   6  3.665E+03  7.025E-07
   6  4.213E+03  4.957E-07
   6  4.844E+03  3.493E-07
   6  5.570E+03  2.458E-07
   6  6.404E+03  1.729E-07
   6  7.363E+03  1.215E-07
   6  8.466E+03  8.530E-08
   6  9.734E+03  5.983E-08
   6  1.119E+04  4.195E-08
   6  1.287E+04  2.935E-08
   6  1.479E+04  2.056E-08
   6  1.701E+04  1.436E-08
   6  1.956E+04  1.003E-08
   6  2.249E+04  6.995E-09
   6  2.585E+04  4.881E-09
   6  2.972E+04  3.400E-09
   6  3.418E+04  2.365E-09
   6  3.929E+04  1.646E-09
   6  4.518E+04  1.143E-09
   6  5.195E+04  7.933E-10
   6  5.972E+04  5.504E-10
   6  6.867E+04  3.814E-10
   6  7.895E+04  2.641E-10
   6  9.078E+04  1.827E-10
   6  1.044E+05  1.262E-10
   6  1.200E+05  8.723E-11
   7  1.400E-01  7.098E-02
   7  1.610E-01  8.019E-02
   7  1.851E-01  9.035E-02
   7  2.128E-01  1.015E-01
   7  2.447E-01  1.137E-01
   7  2.813E-01  1.268E-01
   7  3.234E-01  1.409E-01
   7  3.719E-01  1.559E-01
   7  4.275E-01  1.715E-01
   7  4.916E-01  1.876E-01
   7  5.652E-01  2.039E-01
   7  6.498E-01  2.201E-01
   7  7.471E-01  2.356E-01
   7  8.590E-01  2.500E-01
