1968.041096
   Z,        E,        F  
   2  7.495E+03  1.000E-33
   2  8.618E+03  1.000E-33
   2  9.908E+03  1.000E-33
   2  1.139E+04  1.000E-33
   2  1.310E+04  1.000E-33
   2  1.506E+04  1.000E-33
   2  1.732E+04  1.000E-33
   2  1.991E+04  1.000E-33
   2  2.289E+04  1.000E-33
   2  2.632E+04  1.000E-33
   2  3.026E+04  1.000E-33
   2  3.479E+04  1.000E-33
   2  4.000E+04  1.000E-33
   3  7.000E-02  1.000E-33
   3  8.048E-02  1.000E-33
   3  9.254E-02  1.000E-33
   3  1.064E-01  1.000E-33
   3  1.223E-01  1.000E-33
   3  1.406E-01  1.000E-33
   3  1.617E-01  1.000E-33
   3  1.859E-01  1.000E-33
   3  2.138E-01  1.000E-33
   3  2.458E-01  1.000E-33
   3  2.826E-01  1.000E-33
   3  3.249E-01  1.000E-33
   3  3.736E-01  1.000E-33
   3  4.295E-01  1.000E-33
   3  4.938E-01  1.000E-33
   3  5.678E-01  1.000E-33
   3  6.528E-01  1.000E-33
   3  7.506E-01  1.000E-33
   3  8.630E-01  1.000E-33
   3  9.922E-01  1.000E-33
   3  1.141E+00  1.000E-33
   3  1.312E+00  1.000E-33
   3  1.508E+00  1.000E-33
   3  1.734E+00  1.000E-33
   3  1.994E+00  1.000E-33
   3  2.292E+00  1.000E-33
   3  2.635E+00  1.000E-33
   3  3.030E+00  1.000E-33
   3  3.484E+00  1.000E-33
   3  4.006E+00  1.000E-33
   3  4.606E+00  1.000E-33
   3  5.295E+00  1.000E-33
   3  6.088E+00  1.000E-33
   3  7.000E+00  1.000E-33
   3  8.048E+00  1.000E-33
   3  9.254E+00  1.000E-33
   3  1.064E+01  1.000E-33
   3  1.223E+01  1.000E-33
   3  1.406E+01  1.000E-33
   3  1.617E+01  1.000E-33
   3  1.859E+01  1.000E-33
   3  2.138E+01  1.000E-33
   3  2.458E+01  1.000E-33
   3  2.826E+01  1.000E-33
   3  3.249E+01  1.000E-33
   3  3.736E+01  1.000E-33
   3  4.295E+01  1.000E-33
   3  4.938E+01  1.000E-33
   3  5.678E+01  1.000E-33
   3  6.528E+01  1.000E-33
   3  7.506E+01  1.000E-33
   3  8.630E+01  1.000E-33
   3  9.922E+01  1.000E-33
   3  1.141E+02  1.000E-33
   3  1.312E+02  1.000E-33
   3  1.508E+02  1.000E-33
   3  1.734E+02  1.000E-33
   3  1.994E+02  1.000E-33
   3  2.292E+02  1.000E-33
   3  2.635E+02  1.000E-33
   3  3.030E+02  1.000E-33
   3  3.484E+02  1.000E-33
   3  4.006E+02  1.000E-33
   3  4.606E+02  1.000E-33
   3  5.295E+02  1.000E-33
   3  6.088E+02  1.000E-33
   3  7.000E+02  1.000E-33
   3  8.048E+02  1.000E-33
