datetime,latitude,longitude,altitude
2024-02-11T00:29:00Z,42.89269,-76.46420,26871.0
2024-02-11T00:30:00Z,42.89211,-76.46049,27171.0
2024-02-11T00:31:00Z,42.89149,-76.45623,27471.0
2024-02-11T00:32:00Z,42.89082,-76.45143,27771.0
2024-02-11T00:33:00Z,42.89011,-76.44608,28071.0
2024-02-11T00:34:00Z,42.88935,-76.44020,28371.0
2024-02-11T00:35:00Z,42.88855,-76.43377,28671.0
2024-02-11T00:36:00Z,42.88770,-76.42682,28971.0
2024-02-11T00:37:00Z,42.88680,-76.41934,29271.0
2024-02-11T00:38:00Z,42.88585,-76.41134,29571.0
2024-02-11T00:39:00Z,42.88486,-76.40281,29871.0
2024-02-11T00:40:00Z,42.88381,-76.39378,30171.0
2024-02-11T00:41:00Z,42.88270,-76.38424,30471.0
2024-02-11T00:41:01.40625Z,42.88268,-76.38401,30478.0
2024-02-11T00:41:01.40625Z,42.88268,-76.38401,30478.0
2024-02-11T00:42:01.40625Z,42.88176,-76.37630,28113.6
2024-02-11T00:43:01.40625Z,42.88120,-76.37228,26133.5
2024-02-11T00:44:01.40625Z,42.88046,-76.36912,24437.5
2024-02-11T00:45:01.40625Z,42.87913,-76.36478,22953.6
2024-02-11T00:46:01.40625Z,42.87774,-76.35967,21624.6
2024-02-11T00:47:01.40625Z,42.87634,-76.35391,20421.3
2024-02-11T00:48:01.40625Z,42.87509,-76.34589,19321.9
2024-02-11T00:49:01.40625Z,42.87405,-76.33439,18309.9
2024-02-11T00:50:01.40625Z,42.87293,-76.32083,17372.4
2024-02-11T00:51:01.40625Z,42.87156,-76.30635,16499.2
2024-02-11T00:52:01.40625Z,42.87001,-76.29111,15682.0
2024-02-11T00:53:01.40625Z,42.86842,-76.27564,14914.1
2024-02-11T00:54:01.40625Z,42.86692,-76.25954,14189.9
2024-02-11T00:55:01.40625Z,42.86597,-76.24139,13504.7
2024-02-11T00:56:01.40625Z,42.86492,-76.22168,12854.4
2024-02-11T00:57:01.40625Z,42.86308,-76.20099,12235.7
2024-02-11T00:58:01.40625Z,42.86101,-76.17852,11645.7
2024-02-11T00:59:01.40625Z,42.85909,-76.15407,11081.8
2024-02-11T01:00:01.40625Z,42.85758,-76.12782,10540.0
2024-02-11T01:01:01.40625Z,42.85631,-76.10127,10016.0
2024-02-11T01:02:01.40625Z,42.85479,-76.07623,9508.6
2024-02-11T01:03:01.40625Z,42.85252,-76.05395,9016.3
2024-02-11T01:04:01.40625Z,42.84949,-76.03414,8538.3
2024-02-11T01:05:01.40625Z,42.84618,-76.01555,8073.4
2024-02-11T01:06:01.40625Z,42.84308,-75.99787,7620.8
2024-02-11T01:07:01.40625Z,42.84041,-75.98157,7179.8
2024-02-11T01:08:01.40625Z,42.83809,-75.96748,6749.7
2024-02-11T01:09:01.40625Z,42.83598,-75.95589,6329.7
2024-02-11T01:10:01.40625Z,42.83411,-75.94620,5919.4
2024-02-11T01:11:01.40625Z,42.83238,-75.93764,5518.2
2024-02-11T01:12:01.40625Z,42.83080,-75.92989,5125.6
