datetime,latitude,longitude,altitude
2024-02-05T18:29:00Z,42.67398,-77.54456,26871.0
2024-02-05T18:30:00Z,42.67492,-77.54350,27171.0
2024-02-05T18:31:00Z,42.67591,-77.54220,27471.0
2024-02-05T18:32:00Z,42.67695,-77.54067,27771.0
2024-02-05T18:33:00Z,42.67804,-77.53890,28071.0
2024-02-05T18:34:00Z,42.67917,-77.53690,28371.0
2024-02-05T18:35:00Z,42.68036,-77.53467,28671.0
2024-02-05T18:36:00Z,42.68158,-77.53219,28971.0
2024-02-05T18:37:00Z,42.68286,-77.52948,29271.0
2024-02-05T18:38:00Z,42.68417,-77.52654,29571.0
2024-02-05T18:39:00Z,42.68553,-77.52335,29871.0
2024-02-05T18:40:00Z,42.68694,-77.51993,30171.0
2024-02-05T18:40:13.59375Z,42.68726,-77.51910,30239.0
2024-02-05T18:40:13.59375Z,42.68726,-77.51910,30239.0
2024-02-05T18:41:13.59375Z,42.68849,-77.51642,27915.8
2024-02-05T18:42:13.59375Z,42.68933,-77.51537,25965.5
2024-02-05T18:43:13.59375Z,42.68955,-77.51561,24291.7
2024-02-05T18:44:13.59375Z,42.68902,-77.51664,22823.7
2024-02-05T18:45:13.59375Z,42.68775,-77.51741,21507.6
2024-02-05T18:46:13.59375Z,42.68582,-77.51783,20314.8
2024-02-05T18:47:13.59375Z,42.68357,-77.51725,19224.1
2024-02-05T18:48:13.59375Z,42.68114,-77.51543,18219.6
2024-02-05T18:49:13.59375Z,42.67803,-77.51262,17288.5
2024-02-05T18:50:13.59375Z,42.67405,-77.50899,16420.8
2024-02-05T18:51:13.59375Z,42.66952,-77.50499,15608.5
2024-02-05T18:52:13.59375Z,42.66524,-77.50181,14844.9
2024-02-05T18:53:13.59375Z,42.66080,-77.49921,14124.5
2024-02-05T18:54:13.59375Z,42.65550,-77.49679,13442.7
2024-02-05T18:55:13.59375Z,42.64945,-77.49421,12795.5
2024-02-05T18:56:13.59375Z,42.64291,-77.49136,12179.6
2024-02-05T18:57:13.59375Z,42.63660,-77.48859,11592.1
2024-02-05T18:58:13.59375Z,42.63010,-77.48683,11030.5
2024-02-05T18:59:13.59375Z,42.62331,-77.48675,10490.5
2024-02-05T19:00:13.59375Z,42.61660,-77.48856,9968.1
2024-02-05T19:01:13.59375Z,42.61004,-77.49207,9462.1
2024-02-05T19:02:13.59375Z,42.60429,-77.49614,8971.2
2024-02-05T19:03:13.59375Z,42.59923,-77.50024,8494.4
2024-02-05T19:04:13.59375Z,42.59444,-77.50388,8030.7
2024-02-05T19:05:13.59375Z,42.58963,-77.50706,7579.3
2024-02-05T19:06:13.59375Z,42.58466,-77.51012,7139.3
2024-02-05T19:07:13.59375Z,42.57951,-77.51323,6710.1
2024-02-05T19:08:13.59375Z,42.57427,-77.51644,6291.1
2024-02-05T19:09:13.59375Z,42.56896,-77.51947,5881.7
2024-02-05T19:10:13.59375Z,42.56350,-77.52228,5481.3
2024-02-05T19:11:13.59375Z,42.55797,-77.52503,5089.5
2024-02-05T19:12:13.59375Z,42.55252,-77.52766,4705.8
2024-02-05T19:13:13.59375Z,42.54702,-77.53031,4329.9
2024-02-05T19:14:13.59375Z,42.54139,-77.53327,3961.3
2024-02-05T19:15:13.59375Z,42.53572,-77.53645,3599.8
2024-02-05T19:16:13.59375Z,42.53008,-77.53971,3244.9
2024-02-05T19:17:13.59375Z,42.52450,-77.54307,2896.4
2024-02-05T19:18:13.59375Z,42.51908,-77.54658,2554.1
2024-02-05T19:19:13.59375Z,42.51395,-77.55033,2217.6
2024-02-05T19:20:13.59375Z,42.50914,-77.55450,1886.7
2024-02-05T19:21:13.59375Z,42.50468,-77.55916,1561.2
2024-02-05T19:22:13.59375Z,42.50060,-77.56358,1240.9
2024-02-05T19:23:13.59375Z,42.49701,-77.56612,925.6
2024-02-05T19:24:13.59375Z,42.49363,-77.56779,615.1
2024-02-05T19:24:32.8125Z,42.49278,-77.56817,517.1
